Region,Site,DecayClass,TreeSpecies,WoodType,mg CO2/g/d,Moisture Content (%),Density (g/cm3),TC %,TKN %,P mg/kg,K mg/kg,Ca mg/kg,Mg mg/kg,Mn mg/kg,C/N,N/P,Diameter
Northeast,1,2,Jack pine,softwood,0.28,51.25707102,0.348,49.52,0.0278,23.23,89.43,1238.84,177.32,75.78,1780.51,11.97335434,15.75
Northeast,1,2,Jack pine,softwood,0.4,71.49046794,0.308,49.58,0.039,29.59,150.95,895.78,314.49,81.72,1272.62,13.16567556,12.35
Northeast,1,2,Jack pine,softwood,0.29,69.45230136,0.309,49.73,0.0338,107.95,51.93,1153.73,203.22,97.89,1471.56,3.130614572,13.75
Northeast,1,3,Jack pine,softwood,0.73,58.56079404,0.302,50.05,0.0799,52.88,181.3,1468.14,246.55,86.58,626.54,15.10475347,9.7
Northeast,1,3,Jack pine,softwood,1.28,73.63304982,0.242,48.92,0.0935,145.94,165.48,1467.81,276.92,111.22,523.15,6.407311902,8.9
Northeast,1,3,Jack pine,softwood,0.99,61.91709845,0.325,49.88,0.0288,10,269.43,707.67,162.54,48.11,1732.11,28.79713347,11.75
Northeast,1,4,Jack pine,softwood,1.09,72.4361949,0.205,52.52,0.1136,39.99,180.8,1445.09,255.28,106.21,462.33,28.40947443,9.8
Northeast,1,4,Jack pine,softwood,0.96,57.9658606,0.075,49.19,0.2552,151.38,363.04,4015.19,768.62,416.53,192.76,16.8573537,10.8
Northeast,1,4,Jack pine,softwood,0.64,79.17077986,0.083,48.66,0.1595,72.53,615.19,2697.69,564.62,409.29,305.03,21.99337397,9.35
Northeast,1,5,Jack pine,softwood,1.54,87.63094279,0.15,50.11,0.143,104.59,258.17,828.01,170.17,52.2,350.53,13.66837501,9.35
Northeast,1,5,Jack pine,softwood,1.59,92.58046918,0.179,49.85,0.1037,225.06,181.2,1111.73,289.21,73.86,480.89,4.605824281,11.7
Northeast,1,5,Jack pine,softwood,0.59,74.45721584,0.147,51.92,0.1403,96.18,228.5,1323.07,189.35,38.21,370.01,14.5898041,19.25
Northeast,1,1,Trembling aspen,hardwood,0.63,65.12105047,0.355,48.72,0.0784,152.92,1630.74,4471.51,504.28,9.58,621.17,5.128894765,11.05
Northeast,1,1,Trembling aspen,hardwood,0.79,54.74452555,0.387,48.06,0.0704,136.71,1204.97,4735.68,511.73,16.21,683.05,5.146820124,9.35
Northeast,1,1,Trembling aspen,hardwood,0.53,53.67365004,0.397,48.12,0.0585,47.97,1188.58,4437.84,569.02,14.57,822.37,12.19654228,9.1
Northeast,1,2,Trembling aspen,hardwood,0.37,48.85592155,0.426,47.16,0.0387,39.03,3654.11,4825.35,475.96,8.78,1217.63,9.924345707,11.75
Northeast,1,2,Trembling aspen,hardwood,0.47,54.09615901,0.422,46.97,0.0516,45.1,1755.74,10388.51,1052.53,66.35,909.67,11.44982526,11.05
Northeast,1,2,Trembling aspen,hardwood,0.27,47.26237407,0.47,48.5,0.0795,68.85,1965.12,4414.34,517.52,12.1,609.66,11.55301793,9.95
Northeast,1,3,Trembling aspen,hardwood,0.59,62.49010815,0.372,46.45,0.0248,13.32,936.37,5982.4,815.73,0.99,1872.48,18.61930957,8.9
Northeast,1,3,Trembling aspen,hardwood,0.46,56.56811948,0.374,48.72,0.0829,39.72,239.78,2175.12,252.07,4.87,587.34,20.88146791,8.6
Northeast,1,3,Trembling aspen,hardwood,0.54,74.86648865,0.304,45.32,0.0239,18.08,402.14,3763.02,502.95,0.95,1893.31,13.236429,8.9
Northeast,1,4,Trembling aspen,hardwood,0.59,67.8638351,0.128,48.81,0.2344,276.73,1524.77,11792.66,832.47,54.67,208.23,8.470036173,9.3
Northeast,1,4,Trembling aspen,hardwood,0.97,66.28242075,0.303,47.89,0.1575,164.58,893.58,4395.96,294.32,21.55,304.04,9.57086256,9.25
Northeast,1,4,Trembling aspen,hardwood,1.11,91.23839009,0.102,50.14,0.5245,531.47,872.34,12828.39,1095.99,81.65,95.59,9.869126024,9.75
Northeast,1,5,Trembling aspen,hardwood,2.62,86.00777346,0.093,42.4,0.2672,227,513.62,4308.88,419.26,56.01,158.69,11.770775,6.95
Northeast,1,5,Trembling aspen,hardwood,0.52,84.45364766,0.076,43.56,0.4253,351.09,1514.82,16520.3,1600.67,343.4,102.42,12.11371226,10
Northeast,1,5,Trembling aspen,hardwood,1.99,91.43187958,0.095,44.27,0.3396,257.38,294.23,10909.64,389.08,114.66,130.34,13.19461475,8.3
Northeast,2,1,Jack pine,softwood,0.74,60.68859198,0.242,49.36,0.0525,16.34,58.71,1261.8,296.74,76.37,939.66,32.15355026,13.75
