Region,Site,DecayClass,TreeSpecies,WoodType,mg CO2/g/d,Moisture Content (%),Density (g/cm3),TC %,TKN %,P mg/kg,K mg/kg,Ca mg/kg,Mg mg/kg,Mn mg/kg,C/N,N/P,Cmass,Nmass,Pmass,Kmass,Camass,Mgmass,Mnmass,LowerDiameter,UpperDiameter,Length
3W,2,3,Po,hardwood,0.81,37.85796105,0.357,49.54,0.1403,80.35,1746.38,4834.89,743.99,13.51,353.24,17.4554479,3215.62852,9.106836522,0.521549761,11.33570717,31.38314528,4.829219746,0.087693059,11.2,9.5,265.0
3W,2,3,Po,hardwood,2,54.79452055,0.22,49.61,0.1098,67.44,1104.88,5547.33,1060.1,1,451.68,16.28616975,1984.419844,4.39204392,0.269762698,4.419564195,22.18954189,4.240442404,0.00400004,9.5,9.0,219.0
3W,2,3,Po,hardwood,1.31,72.27059612,0.197,47.84,0.1359,104.63,915.95,7983.84,1549.62,66.4,351.91,12.99272143,1713.558954,4.867739586,0.374769384,3.280799171,28.59694924,5.550512595,0.237835106,10.2,10.0,220.0
3W,2,4,Po,hardwood,0.12,79.93465832,0.101,45.7,0.1917,176.1,918.47,16316.23,1432.06,84.34,238.41,10.88403085,839.226574,3.520344294,0.32338687,1.686661776,29.96283108,2.629809207,0.154880458,11.5,10.0,213.0
3W,2,4,Po,hardwood,0.94,60.36191297,0.133,47.74,0.2652,192.3,534.36,6828.47,871.33,61.87,180.02,13.79011088,1154.451544,6.413082312,0.465021014,1.292192558,16.51264712,2.107055434,0.149614405,12.0,8.5,231.0
3W,2,4,Po,hardwood,0.27,87.72760379,0.132,22.92,0.2125,142.95,345.17,4840.41,634.63,59.55,107.9,14.86245021,550.0855008,5.100051,0.343083431,0.828416284,11.61710017,1.523127231,0.142921429,11.5,11.0,167.0
3W,2,5,Po,hardwood,0.99,84.50660928,0.079,37.45,0.3464,240.21,292.8,6368.93,576.62,82.22,108.12,14.41882334,537.923561,4.975613392,0.345032359,0.420571478,9.148190936,0.828244282,0.118098999,11.5,10.3,72.0
3W,2,5,Po,hardwood,1.2,83.22517846,0.08,51.62,0.2531,238.48,695.95,11565.71,1771.04,104.67,203.95,10.61392745,750.843872,3.68149136,0.346883469,1.012301032,16.82301914,2.576083942,0.152248795,11.0,10.0,241.0
3W,2,5,Po,hardwood,1.56,70.67488866,0.087,43.56,0.2039,158.25,2040.88,10178.04,1635.9,79.95,213.59,12.88741892,689.0468904,3.225359526,0.250325231,3.228333374,16.09996973,2.587722241,0.126467628,8.5,8.0,182.0
3W,2,5,Po,hardwood,0.48,90.94636146,0.189,48.97,0.1599,144.59,892.49,5956.51,745.98,45.4,306.26,11.05857976,1682.804101,5.494800402,0.496868787,3.066950851,20.46893905,2.56348418,0.156012469,14.0,11.5,169.0
